x,y,z,real,imag,mag
20,-15,-15,-3.33001e-34,0,1.1089e-67
20,-12,-15,-7.55331e-34,0,5.70525e-67
20,-9,-15,-2.32883e-33,0,5.42343e-66
20,-6,-15,-7.28689e-33,0,5.30987e-65
20,-3,-15,-5.64435e-33,0,3.18587e-65
20,0,-15,-8.64283e-33,0,7.46985e-65
20,3,-15,3.94885e-33,0,1.55934e-65
20,6,-15,-8.36439e-33,0,6.9963e-65
20,9,-15,-1.15795e-33,0,1.34084e-66
20,12,-15,-4.2043e-33,0,1.76761e-65
20,15,-15,-1.75679e-33,0,3.08633e-66
20,-15,-12,-4.13613e-33,0,1.71076e-65
20,-12,-12,1.23627e-32,0,1.52836e-64
20,-9,-12,4.2987e-32,0,1.84788e-63
20,-6,-12,4.58699e-32,0,2.10405e-63
20,-3,-12,6.15246e-32,0,3.78527e-63
20,0,-12,5.6439e-32,0,3.18537e-63
20,3,-12,4.71862e-32,0,2.22654e-63
20,6,-12,5.13117e-32,0,2.63289e-63
20,9,-12,3.05583e-32,0,9.33811e-64
20,12,-12,1.91562e-32,0,3.6696e-64
20,15,-12,-7.13033e-33,0,5.08417e-65
20,-15,-9,-1.23356e-32,0,1.52168e-64
20,-12,-9,3.72271e-32,0,1.38586e-63
20,-9,-9,6.53603e-32,0,4.27196e-63
20,-6,-9,8.35276e-32,0,6.97685e-63
20,-3,-9,9.56438e-32,0,9.14774e-63
20,0,-9,1.00866e-31,0,1.01739e-62
20,3,-9,1.03986e-31,0,1.08131e-62
20,6,-9,8.38205e-32,0,7.02587e-63
20,9,-9,5.19358e-32,0,2.69733e-63
20,12,-9,3.62669e-32,0,1.31528e-63
20,15,-9,1.86511e-33,0,3.47863e-66
20,-15,-6,-6.1423e-33,0,3.77279e-65
20,-12,-6,5.29268e-32,0,2.80125e-63
20,-9,-6,7.83225e-32,0,6.13442e-63
20,-6,-6,1.18499e-31,0,1.4042e-62
20,-3,-6,1.39155e-31,0,1.9364e-62
20,0,-6,1.49221e-31,0,2.22668e-62
20,3,-6,1.36927e-31,0,1.87491e-62
20,6,-6,9.94591e-32,0,9.89211e-63
20,9,-6,9.78656e-32,0,9.57767e-63
20,12,-6,4.69021e-32,0,2.19981e-63
20,15,-6,-1.74314e-32,0,3.03854e-64
20,-15,-3,5.19499e-33,0,2.6988e-65
20,-12,-3,5.43558e-32,0,2.95455e-63
20,-9,-3,9.28e-32,0,8.61184e-63
20,-6,-3,1.21579e-31,0,1.47815e-62
20,-3,-3,1.69019e-31,0,2.85674e-62
20,0,-3,1.80751e-31,0,3.26708e-62
20,3,-3,1.53035e-31,0,2.34196e-62
20,6,-3,1.58519e-31,0,2.51281e-62
20,9,-3,8.41109e-32,0,7.07464e-63
20,12,-3,5.77178e-32,0,3.33135e-63
20,15,-3,-2.07398e-32,0,4.30139e-64
20,-15,0,-1.23689e-32,0,1.52989e-64
20,-12,0,6.56229e-32,0,4.30637e-63
20,-9,0,8.92744e-32,0,7.96992e-63
20,-6,0,1.52698e-31,0,2.33166e-62
20,-3,0,1.74364e-31,0,3.0403e-62
20,0,0,1.81321e-31,0,3.28772e-62
20,3,0,1.80345e-31,0,3.25242e-62
20,6,0,1.3821e-31,0,1.91021e-62
20,9,0,1.04609e-31,0,1.0943e-62
20,12,0,5.868e-32,0,3.44334e-63
20,15,0,-2.13269e-33,0,4.54838e-66
