x,y,z,real,imag,mag
20,-15,-15,-2.55635e-33,3.4293e-33,1.8295e-65
20,-12,-15,-6.77476e-33,9.28046e-33,1.32024e-64
20,-9,-15,-1.66789e-32,1.92835e-32,6.50038e-64
20,-6,-15,-5.21916e-32,5.82333e-32,6.11508e-63
20,-3,-15,-3.96343e-32,4.22415e-32,3.35522e-63
20,0,-15,-5.24353e-32,5.41352e-32,5.68008e-63
20,3,-15,3.30021e-32,-3.61883e-32,2.39873e-63
20,6,-15,-5.34467e-32,6.67335e-32,7.3099e-63
20,9,-15,-8.45472e-33,1.28357e-32,2.36237e-64
20,12,-15,-3.18589e-32,4.98051e-32,3.49554e-63
20,15,-15,-1.28771e-32,2.05063e-32,5.86327e-64
20,-15,-12,-3.39566e-32,4.3207e-32,3.01989e-63
20,-12,-12,1.40911e-31,-1.94591e-31,5.77215e-62
20,-9,-12,3.77417e-31,-4.48602e-31,3.43687e-61
20,-6,-12,3.85782e-31,-4.23857e-31,3.28483e-61
20,-3,-12,4.36113e-31,-4.04357e-31,3.53699e-61
20,0,-12,4.02476e-31,-3.89572e-31,3.13753e-61
20,3,-12,3.31823e-31,-3.50137e-31,2.32702e-61
20,6,-12,3.59526e-31,-4.18692e-31,3.04562e-61
20,9,-12,2.48987e-31,-3.34913e-31,1.74161e-61
20,12,-12,1.66001e-31,-2.54678e-31,9.24174e-62
20,15,-12,-5.308e-32,7.68541e-32,8.72404e-63
20,-15,-9,-1.0174e-31,1.2539e-31,2.60736e-62
20,-12,-9,3.3758e-31,-4.03799e-31,2.77014e-61
20,-9,-9,5.22704e-31,-5.27489e-31,5.51464e-61
20,-6,-9,6.04335e-31,-5.11197e-31,6.26543e-61
20,-3,-9,6.13449e-31,-4.44373e-31,5.73787e-61
20,0,-9,6.30265e-31,-4.56998e-31,6.06081e-61
20,3,-9,5.91046e-31,-4.14625e-31,5.21249e-61
20,6,-9,5.22204e-31,-5.10506e-31,5.33313e-61
20,9,-9,3.88852e-31,-4.98705e-31,3.99913e-61
20,12,-9,2.60916e-31,-3.58853e-31,1.96853e-61
20,15,-9,2.40747e-32,-3.78025e-32,2.00862e-63
20,-15,-6,-4.35392e-32,4.50568e-32,3.92577e-63
20,-12,-6,4.19904e-31,-4.06542e-31,3.41596e-61
20,-9,-6,5.82687e-31,-5.54523e-31,6.4702e-61
20,-6,-6,7.04227e-31,-3.79842e-31,6.40215e-61
20,-3,-6,7.1077e-31,-1.659e-31,5.32717e-61
20,0,-6,6.82135e-31,-6.5642e-32,4.69617e-61
20,3,-6,6.49348e-31,-1.86149e-31,4.56304e-61
20,6,-6,5.8001e-31,-5.19451e-31,6.0624e-61
20,9,-6,5.43601e-31,-4.89737e-31,5.35344e-61
20,12,-6,3.29327e-31,-4.32433e-31,2.95454e-61
20,15,-6,-1.01101e-31,1.21823e-31,2.50623e-62
20,-15,-3,4.57352e-32,-4.0167e-32,3.70509e-63
20,-12,-3,3.95297e-31,-3.06302e-31,2.5008e-61
20,-9,-3,6.30354e-31,-2.42697e-31,4.56248e-61
20,-6,-3,7.46349e-31,-2.91931e-31,6.4226e-61
20,-3,-3,7.04423e-31,1.91077e-31,5.32722e-61
20,0,-3,6.12051e-31,4.42099e-31,5.70059e-61
20,3,-3,6.02581e-31,5.37452e-32,3.65992e-61
20,6,-3,6.0302e-31,7.83695e-32,3.69775e-61
20,9,-3,4.86951e-31,-4.66835e-31,4.55056e-61
20,12,-3,3.49542e-31,-3.70486e-31,2.5944e-61
20,15,-3,-1.04947e-31,1.09191e-31,2.29366e-62
20,-15,0,-7.50993e-32,5.67755e-32,8.86337e-63
20,-12,0,4.33905e-31,-2.67174e-31,2.59656e-61
